id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
18,Activity F,2023-11-28 09:38:25.795130,2023-11-28 09:38:25.795130,2023-11-28 09:41:36.599919,R5,R5,2,2,2,2,[],1.0,190.80478899452413,"['Activity E', 'Activity F']",{},{}
19,Activity E,2023-11-28 09:39:09.896189,2023-11-28 09:39:09.896189,2023-11-28 09:43:13.213535,R6,R6,2,2,2,1,[],1.0,243.31734576006954,['Activity E'],{},{}
19,Activity F,2023-11-28 09:43:13.213535,2023-11-28 09:43:13.213535,2023-11-28 09:44:26.730765,R6,R6,2,2,2,1,[],1.0,73.51722998680125,"['Activity E', 'Activity F']",{},{}
20,Activity E,2023-11-28 09:41:36.599919,2023-11-28 09:41:36.599919,2023-11-28 09:45:26.685817,R5,R5,2,2,2,2,[],1.0,230.0858977532584,['Activity E'],{},{}
21,Activity E,2023-11-28 09:44:26.730765,2023-11-28 09:44:26.730765,2023-11-28 09:46:09.909775,R6,R6,2,2,2,2,[],1.0,103.17901027880659,['Activity E'],{},{}
20,Activity F,2023-11-28 09:45:26.685817,2023-11-28 09:45:26.685817,2023-11-28 09:46:56.120823,R5,R5,2,2,2,1,[],1.0,89.43500631981428,"['Activity E', 'Activity F']",{},{}
22,Activity E,2023-11-28 09:46:56.120823,2023-11-28 09:46:56.120823,2023-11-28 09:48:30.509692,R5,R5,2,2,2,1,[],1.0,94.38886827642594,['Activity E'],{},{}
22,Activity F,2023-11-28 09:48:30.509692,2023-11-28 09:48:30.509692,2023-11-28 09:48:43.267279,R5,R5,2,2,2,2,[],1.0,12.7575873470446,"['Activity E', 'Activity F']",{},{}
23,Activity E,2023-11-28 09:48:43.267279,2023-11-28 09:48:43.267279,2023-11-28 09:49:09.805750,R5,R5,2,2,2,1,[],1.0,26.538470747273212,['Activity E'],{},{}
21,Activity F,2023-11-28 09:46:09.909775,2023-11-28 09:46:09.909775,2023-11-28 09:51:09.845932,R6,R6,2,2,2,2,[],1.0,299.9361571262749,"['Activity E', 'Activity F']",{},{}
23,Activity F,2023-11-28 09:49:09.805750,2023-11-28 09:49:09.805750,2023-11-28 09:51:23.972539,R5,R5,2,2,2,2,[],1.0,134.16678912693237,"['Activity E', 'Activity F']",{},{}
25,Activity E,2023-11-28 09:51:23.972539,2023-11-28 09:51:23.972539,2023-11-28 09:52:17.188111,R5,R5,2,2,2,2,[],1.0,53.21557186964953,['Activity E'],{},{}
26,Activity E,2023-11-28 09:52:17.188111,2023-11-28 09:52:17.188111,2023-11-28 09:52:25.053593,R5,R5,3,3,3,2,[],1.0,7.865482424780245,['Activity E'],{},{}
24,Activity E,2023-11-28 09:51:09.845932,2023-11-28 09:51:09.845932,2023-11-28 09:52:46.990503,R6,R6,2,2,3,1,[],1.0,97.14457066376515,['Activity E'],{},{}
26,Activity F,2023-11-28 09:52:25.053593,2023-11-28 09:52:25.053593,2023-11-28 09:54:47.914330,R5,R5,3,3,3,1,[],1.0,142.8607364634941,"['Activity E', 'Activity F']",{},{}
25,Activity F,2023-11-28 09:54:47.914330,2023-11-28 09:54:47.914330,2023-11-28 09:56:10.117797,R5,R5,2,2,2,2,[],1.0,82.20346725083513,"['Activity E', 'Activity F']",{},{}
27,Activity E,2023-11-28 09:56:10.117797,2023-11-28 09:56:10.117797,2023-11-28 09:58:04.002364,R5,R5,2,2,2,1,[],1.0,113.88456738397812,['Activity E'],{},{}
24,Activity F,2023-11-28 09:52:46.990503,2023-11-28 09:52:46.990503,2023-11-28 09:59:44.222619,R6,R6,3,3,2,2,[],1.0,417.23211623577265,"['Activity E', 'Activity F']",{},{}
28,Activity E,2023-11-28 09:59:44.222619,2023-11-28 09:59:44.222619,2023-11-28 10:01:24.821846,R6,R6,2,2,2,1,[],1.0,100.59922674181355,['Activity E'],{},{}
29,Activity E,2023-11-28 10:01:24.821846,2023-11-28 10:01:24.821846,2023-11-28 10:02:01.903640,R6,R6,3,3,3,1,[],1.0,37.08179350393208,['Activity E'],{},{}
29,Activity F,2023-11-28 10:02:01.903640,2023-11-28 10:02:01.903640,2023-11-28 10:02:52.805745,R6,R6,3,3,3,2,[],1.0,50.90210563314158,"['Activity E', 'Activity F']",{},{}
30,Activity E,2023-11-28 10:02:52.805745,2023-11-28 10:02:52.805745,2023-11-28 10:02:58.031271,R6,R6,3,3,3,1,[],1.0,5.225526183480638,['Activity E'],{},{}
30,Activity F,2023-11-28 10:02:58.031271,2023-11-28 10:02:58.031271,2023-11-28 10:03:05.674009,R6,R6,3,3,3,2,[],1.0,7.642737148737696,"['Activity E', 'Activity F']",{},{}
27,Activity F,2023-11-28 09:58:04.002364,2023-11-28 09:58:04.002364,2023-11-28 10:03:41.262885,R5,R5,2,2,3,2,[],1.0,337.2605204340603,"['Activity E', 'Activity F']",{},{}
28,Activity F,2023-11-28 10:03:41.262885,2023-11-28 10:03:41.262885,2023-11-28 10:03:55.468180,R5,R5,2,2,2,1,[],1.0,14.20529509710278,"['Activity E', 'Activity F']",{},{}
32,Activity E,2023-11-28 10:03:55.468180,2023-11-28 10:03:55.468180,2023-11-28 10:04:25.248116,R5,R5,2,2,2,2,[],1.0,29.77993640501033,['Activity E'],{},{}
32,Activity F,2023-11-28 10:04:25.248116,2023-11-28 10:04:25.248116,2023-11-28 10:04:33.263590,R5,R5,2,2,2,1,[],1.0,8.015473577675378,"['Activity E', 'Activity F']",{},{}
31,Activity E,2023-11-28 10:03:05.674009,2023-11-28 10:03:05.674009,2023-11-28 10:04:36.025400,R6,R6,3,3,2,1,[],1.0,90.35139124643008,['Activity E'],{},{}
34,Activity E,2023-11-28 10:04:36.025400,2023-11-28 10:04:36.025400,2023-11-28 10:05:27.063343,R6,R6,3,3,3,2,[],1.0,51.037943389124266,['Activity E'],{},{}
33,Activity E,2023-11-28 10:04:33.263590,2023-11-28 10:04:33.263590,2023-11-28 10:05:46.557613,R5,R5,2,2,4,2,[],1.0,73.29402364630177,['Activity E'],{},{}
33,Activity F,2023-11-28 10:05:46.557613,2023-11-28 10:05:46.557613,2023-11-28 10:07:17.480174,R5,R5,4,4,4,1,[],1.0,90.92256106453917,"['Activity E', 'Activity F']",{},{}
36,Activity E,2023-11-28 10:07:17.480174,2023-11-28 10:07:17.480174,2023-11-28 10:07:37.157782,R5,R5,4,4,4,2,[],1.0,19.677607622095163,['Activity E'],{},{}
36,Activity F,2023-11-28 10:07:37.157782,2023-11-28 10:07:37.157782,2023-11-28 10:07:50.990176,R5,R5,4,4,4,1,[],1.0,13.832393857614326,"['Activity E', 'Activity F']",{},{}
35,Activity E,2023-11-28 10:05:27.063343,2023-11-28 10:05:27.063343,2023-11-28 10:09:58.045301,R6,R6,4,4,3,2,[],1.0,270.98195800774334,['Activity E'],{},{}
34,Activity F,2023-11-28 10:07:50.990176,2023-11-28 10:07:50.990176,2023-11-28 10:10:25.569535,R5,R5,3,3,3,1,[],1.0,154.57935948979787,"['Activity E', 'Activity F']",{},{}
31,Activity F,2023-11-28 10:10:25.569535,2023-11-28 10:10:25.569535,2023-11-28 10:12:08.623435,R5,R5,2,2,2,2,[],1.0,103.05389989464587,"['Activity E', 'Activity F']",{},{}
35,Activity F,2023-11-28 10:09:58.045301,2023-11-28 10:09:58.045301,2023-11-28 10:12:13.317805,R6,R6,3,3,2,2,[],1.0,135.27250339751595,"['Activity E', 'Activity F']",{},{}
38,Activity E,2023-11-28 10:12:13.317805,2023-11-28 10:12:13.317805,2023-11-28 10:12:14.340331,R6,R6,2,2,2,2,[],1.0,1.0225259329568155,['Activity E'],{},{}
38,Activity F,2023-11-28 10:12:14.340331,2023-11-28 10:12:14.340331,2023-11-28 10:12:37.438831,R6,R6,2,2,2,1,[],1.0,23.098500801683713,"['Activity E', 'Activity F']",{},{}
39,Activity E,2023-11-28 10:12:37.438831,2023-11-28 10:12:37.438831,2023-11-28 10:13:10.659737,R6,R6,2,2,2,2,[],1.0,33.22090564880555,['Activity E'],{},{}
40,Activity E,2023-11-28 10:13:10.659737,2023-11-28 10:13:10.659737,2023-11-28 10:13:35.032369,R6,R6,3,3,3,2,[],1.0,24.372631958797196,['Activity E'],{},{}
37,Activity E,2023-11-28 10:12:08.623435,2023-11-28 10:12:08.623435,2023-11-28 10:15:08.181133,R5,R5,2,2,4,1,[],1.0,179.55769803653965,['Activity E'],{},{}
41,Activity E,2023-11-28 10:13:35.032369,2023-11-28 10:13:35.032369,2023-11-28 10:15:25.330798,R6,R6,4,4,4,2,[],1.0,110.29842858990129,['Activity E'],{},{}
