id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
60,Activity E,2023-11-28 09:53:01.964582,2023-11-28 09:53:01.964582,2023-11-28 09:53:31.818478,R6,R6,61,61,61,2,[],1.0,29.853896294722063,['Activity E'],{},{}
59,Activity E,2023-11-28 09:52:42.121725,2023-11-28 09:52:42.121725,2023-11-28 09:55:35.162225,R5,R5,60,60,62,2,[],1.0,173.04049983722527,['Activity E'],{},{}
62,Activity E,2023-11-28 09:55:35.162225,2023-11-28 09:55:35.162225,2023-11-28 09:55:49.176042,R5,R5,63,63,63,2,[],1.0,14.013816867260624,['Activity E'],{},{}
61,Activity E,2023-11-28 09:53:31.818478,2023-11-28 09:53:31.818478,2023-11-28 09:56:15.286061,R6,R6,62,62,64,2,[],1.0,163.46758303955428,['Activity E'],{},{}
64,Activity E,2023-11-28 09:56:15.286061,2023-11-28 09:56:15.286061,2023-11-28 09:57:51.425380,R6,R6,65,65,65,2,[],1.0,96.13931873526398,['Activity E'],{},{}
63,Activity E,2023-11-28 09:55:49.176042,2023-11-28 09:55:49.176042,2023-11-28 09:59:03.578043,R5,R5,64,64,66,2,[],1.0,194.40200133360037,['Activity E'],{},{}
65,Activity E,2023-11-28 09:57:51.425380,2023-11-28 09:57:51.425380,2023-11-28 09:59:09.216799,R6,R6,66,66,67,2,[],1.0,77.7914194436558,['Activity E'],{},{}
67,Activity E,2023-11-28 09:59:09.216799,2023-11-28 09:59:09.216799,2023-11-28 09:59:12.028022,R6,R6,68,68,68,2,[],1.0,2.811223172837059,['Activity E'],{},{}
68,Activity E,2023-11-28 09:59:12.028022,2023-11-28 09:59:12.028022,2023-11-28 10:00:33.308244,R6,R6,69,69,69,2,[],1.0,81.28022171640549,['Activity E'],{},{}
69,Activity E,2023-11-28 10:00:33.308244,2023-11-28 10:00:33.308244,2023-11-28 10:00:39.961494,R6,R6,70,70,70,2,[],1.0,6.653249932472206,['Activity E'],{},{}
66,Activity E,2023-11-28 09:59:03.578043,2023-11-28 09:59:03.578043,2023-11-28 10:02:23.377471,R5,R5,67,67,71,2,[],1.0,199.7994277660872,['Activity E'],{},{}
70,Activity E,2023-11-28 10:00:39.961494,2023-11-28 10:00:39.961494,2023-11-28 10:03:55.817417,R6,R6,71,71,72,2,[],1.0,195.8559232617002,['Activity E'],{},{}
72,Activity E,2023-11-28 10:03:55.817417,2023-11-28 10:03:55.817417,2023-11-28 10:04:27.067219,R6,R6,73,73,73,2,[],1.0,31.249801609783407,['Activity E'],{},{}
71,Activity E,2023-11-28 10:02:23.377471,2023-11-28 10:02:23.377471,2023-11-28 10:04:30.373469,R5,R5,72,72,74,2,[],1.0,126.99599822100761,['Activity E'],{},{}
73,Activity E,2023-11-28 10:04:27.067219,2023-11-28 10:04:27.067219,2023-11-28 10:04:38.285500,R6,R6,74,74,75,2,[],1.0,11.218281413854402,['Activity E'],{},{}
74,Activity E,2023-11-28 10:04:30.373469,2023-11-28 10:04:30.373469,2023-11-28 10:05:36.750491,R5,R5,75,75,76,2,[],1.0,66.37702195149822,['Activity E'],{},{}
75,Activity E,2023-11-28 10:04:38.285500,2023-11-28 10:04:38.285500,2023-11-28 10:06:57.506120,R6,R6,76,76,77,2,[],1.0,139.2206200628832,['Activity E'],{},{}
76,Activity E,2023-11-28 10:05:36.750491,2023-11-28 10:05:36.750491,2023-11-28 10:08:51.724074,R5,R5,77,77,78,2,[],1.0,194.97358293441783,['Activity E'],{},{}
78,Activity E,2023-11-28 10:08:51.724074,2023-11-28 10:08:51.724074,2023-11-28 10:08:52.297683,R5,R5,79,79,79,2,[],1.0,0.5736087749223092,['Activity E'],{},{}
79,Activity E,2023-11-28 10:08:52.297683,2023-11-28 10:08:52.297683,2023-11-28 10:09:01.836365,R5,R5,80,80,80,2,[],1.0,9.538682614236013,['Activity E'],{},{}
80,Activity E,2023-11-28 10:09:01.836365,2023-11-28 10:09:01.836365,2023-11-28 10:12:05.484859,R5,R5,81,81,81,2,[],1.0,183.6484936633337,['Activity E'],{},{}
77,Activity E,2023-11-28 10:06:57.506120,2023-11-28 10:06:57.506120,2023-11-28 10:12:06.251806,R6,R6,78,78,82,2,[],1.0,308.7456858278992,['Activity E'],{},{}
82,Activity E,2023-11-28 10:12:06.251806,2023-11-28 10:12:06.251806,2023-11-28 10:12:25.825867,R6,R6,83,83,83,2,[],1.0,19.574060721061525,['Activity E'],{},{}
81,Activity E,2023-11-28 10:12:05.484859,2023-11-28 10:12:05.484859,2023-11-28 10:14:17.272237,R5,R5,82,82,84,2,[],1.0,131.7873777992574,['Activity E'],{},{}
84,Activity E,2023-11-28 10:14:17.272237,2023-11-28 10:14:17.272237,2023-11-28 10:14:22.960239,R5,R5,85,85,85,2,[],1.0,5.688001856871172,['Activity E'],{},{}
85,Activity E,2023-11-28 10:14:22.960239,2023-11-28 10:14:22.960239,2023-11-28 10:16:38.023570,R5,R5,86,86,86,2,[],1.0,135.06333140062716,['Activity E'],{},{}
86,Activity E,2023-11-28 10:16:38.023570,2023-11-28 10:16:38.023570,2023-11-28 10:16:53.537234,R5,R5,87,87,87,2,[],1.0,15.513663625370217,['Activity E'],{},{}
83,Activity E,2023-11-28 10:12:25.825867,2023-11-28 10:12:25.825867,2023-11-28 10:18:38.252854,R6,R6,84,84,88,2,[],1.0,372.4269872459097,['Activity E'],{},{}
87,Activity E,2023-11-28 10:16:53.537234,2023-11-28 10:16:53.537234,2023-11-28 10:18:39.053337,R5,R5,88,88,89,2,[],1.0,105.51610302839859,['Activity E'],{},{}
89,Activity E,2023-11-28 10:18:39.053337,2023-11-28 10:18:39.053337,2023-11-28 10:19:20.637174,R5,R5,90,90,90,2,[],1.0,41.58383772877089,['Activity E'],{},{}
88,Activity E,2023-11-28 10:18:38.252854,2023-11-28 10:18:38.252854,2023-11-28 10:19:46.099965,R6,R6,89,89,91,2,[],1.0,67.84711113257457,['Activity E'],{},{}
90,Activity E,2023-11-28 10:19:20.637174,2023-11-28 10:19:20.637174,2023-11-28 10:19:53.510931,R5,R5,91,91,92,2,[],1.0,32.873756831400485,['Activity E'],{},{}
92,Activity E,2023-11-28 10:19:53.510931,2023-11-28 10:19:53.510931,2023-11-28 10:20:08.051351,R5,R5,93,93,93,2,[],1.0,14.540419428640991,['Activity E'],{},{}
91,Activity E,2023-11-28 10:19:46.099965,2023-11-28 10:19:46.099965,2023-11-28 10:20:34.025154,R6,R6,92,92,94,2,[],1.0,47.92518866333061,['Activity E'],{},{}
93,Activity E,2023-11-28 10:20:08.051351,2023-11-28 10:20:08.051351,2023-11-28 10:22:04.678052,R5,R5,94,94,95,2,[],1.0,116.62670132765965,['Activity E'],{},{}
94,Activity E,2023-11-28 10:20:34.025154,2023-11-28 10:20:34.025154,2023-11-28 10:23:25.804754,R6,R6,95,95,96,2,[],1.0,171.77959985939012,['Activity E'],{},{}
96,Activity E,2023-11-28 10:23:25.804754,2023-11-28 10:23:25.804754,2023-11-28 10:23:37.338874,R6,R6,97,97,97,2,[],1.0,11.534120633953528,['Activity E'],{},{}
